codigo_inmueble,sector,barrio,estrato,valor_arriendo,valor_administracion,area_construida,area_privada,antiguedad,habitaciones,banos,parqueadero,url
359-M4437421,Chapinero Alto,Marly Chapinero,4,7623530,1928000,184,184,Entre 10 y 20 años,1,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-marly-1-habitaciones-2-banos/359-M4437421
2941-M3670392,Normandía,Normandia,4,1300000,280000,56,54,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-2-habitaciones-2-banos-1-garajes/2941-M3670392
2214-M4489363,Cedritos,Cerros,4,1900000,220000,35,30,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-a.s.d.-1-habitaciones-1-banos/2214-M4489363
13294-M4438617,Centro y Zona Colonial,Teusaquillo Teusaquillo,4,3000000,500000,77,77,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-fe-2-habitaciones-2-banos-1-garajes/13294-M4438617
2361-M4438287,Cedritos,Cedritos Usaquen,4,2550000,,68,68,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-2-habitaciones-2-banos-1-garajes/2361-M4438287
293-M4491235,Cedritos,Cedro Golf,4,2530000,327000,63,63,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-madeiras-2-habitaciones-2-banos-1-garajes/293-M4491235
350-M4489622,La Soledad,Palermo Teusaquillo,4,1250000,164000,34,34,Más de 20 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-teresita-1-habitaciones-1-banos/350-M4489622
991-M4488067,Chapinero,San Luis Teusaquillo,4,3185600,314400,79,79,Entre 5 y 10 años,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-luis-2-habitaciones-3-banos-1-garajes/991-M4488067
10323-M4487517,Chapinero Alto,Chapinero,4,3454000,546000,90,90,Más de 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-sucre-1-habitaciones-2-banos-1-garajes/10323-M4487517
164-M4487582,Colina y Alrededores,Colina Campestre,4,1600000,,44,44,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-1-habitaciones-1-banos-1-garajes/164-M4487582
164-M4009099,Chapinero Alto,Chapinero Central,4,1250000,,30,30,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chapinero-central-1-habitaciones-1-banos/164-M4009099
164-M4491540,Centro y Zona Colonial,La Candelaria,4,1300000,,20,20,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-veracruz-1-habitaciones-1-banos/164-M4491540
164-M4487170,Centro Nariño,El Recuerdo,4,1650000,,45,45,Más de 20 años,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-recuerdo-2-habitaciones-1-banos/164-M4487170
183-M4487168,Chapinero Alto,Chapinero,4,3000000,490000,78,78,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-2-habitaciones-2-banos-1-garajes/183-M4487168
488-M4439051,Centro y Zona Colonial,Centro Internacional,4,1100000,200000,26,26,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-veracruz-1-habitaciones-1-banos/488-M4439051
